city,lng,iso2,population
Phoenix,-112.0892,US,4064275
Fuzhou,116.358,CN,4047200
Chifeng,118.888,CN,4035967
Xiaoxita,111.287,CN,4017607
Amman,35.9328,JO,4007526
Chuzhou,118.333,CN,3987054
Linfen,111.519,CN,3976481
Qingyuan,113.056,CN,3969473
Xianyang,108.7088,CN,3959842
Loudi,111.9944,CN,3931800
Binzhou,117.971,CN,3928568
Zhuzhou,113.133,CN,3902738
Taiyuan,112.5497,CN,3875053
Nanning,108.3275,CN,3837978
Harbin,126.6409,CN,3830000
Abuja,7.4833,NG,3770000
Yokohama,139.6381,JP,3757630
Suihua,126.969,CN,3756167
Zaozhuang,117.3238,CN,3729140
Detroit,-83.1024,US,3725908
Xiamen,118.0889,CN,3707090
Neijiang,105.058,CN,3702847
Montréal,-73.5617,CA,3675219
Fuzhou,119.2964,CN,3671192
Baicheng,106.619,CN,3669400
Wuhu,118.4331,CN,3644420
Yulinshi,109.7341,CN,3634750
Medan,98.6739,ID,3632000
Wenzhou,120.6993,CN,3604446
Changzhou,119.974,CN,3601079
Puyang,115.0292,CN,3598740
Jiaozuo,113.2419,CN,3590700
Nanchang,115.858,CN,3576547
Seattle,-122.3244,US,3561397
Ibadan,3.9167,NG,3552000
Casablanca,-7.5833,MA,3499000
Kumasi,-1.625,GH,3490030
Deyang,104.398,CN,3456161
Busan,129.075,KR,3453198
Hohhot,111.749,CN,3446100
Hechi,108.085,CN,3417945
Algiers,3.0589,DZ,3415811
Tangshan,118.1739,CN,3399231
Shiyan,110.7987,CN,3398000
Lucknow,80.95,IN,3382000
Mashhad,59.5433,IR,3372090
San Francisco,-122.4449,US,3364979
Boankra,-1.4028,GH,3348000
Dubai,55.2972,AE,3331420
Anshan,122.994,CN,3325372
Baojishi,107.238,CN,3321853
Qinzhou,108.654,CN,3304400
Guiyang,106.63,CN,3299724
Bengbu,117.389,CN,3296408
Bazhou,106.748,CN,3283148
Suining,105.593,CN,3252619
Wuxi,120.312,CN,3245179
Kotla Qasim Khan,73.75,PK,3219375
Hanzhong,107.0232,CN,3211462
Putian,119.0078,CN,3210714
Zhenjiang,119.424,CN,3210418
Guang’an,106.6326,CN,3205476
Faisalabad,73.0911,PK,3203846
Changzhi,113.117,CN,3180884
Tongren,109.1895,CN,3168800
Leshan,103.766,CN,3160168
Santa Cruz de la Sierra,-63.1975,BO,3151676
Qinhuangdao,119.5202,CN,3146300
Jaipur,75.8,IN,3073350
Xinzhou,112.734,CN,3067501
Lanzhou,103.8268,CN,3067141
Wuzhou,111.279,CN,3061100
Athens,23.7281,GR,3059764
San Diego,-117.1222,US,3046560
Addis Ababa,38.74,ET,3041002
Taichung,120.6794,TW,3033885
Huainan,117.0194,CN,3033528
Guatemala City,-90.5353,GT,3014000
Kuwait City,47.9783,KW,3000000
Budapest,19.0514,HU,2997958
Qincheng,105.7311,CN,2984659
Rizhao,119.527,CN,2968365
Quezon City,121.0475,PH,2960048
Sanaa,44.2064,YE,2957000
Tashkent,69.2797,UZ,2956384
Kyiv,30.5233,UA,2952301
Meishan,103.8484,CN,2950545
Incheon,126.6333,KR,2936117
Birmingham,-1.9025,GB,2919600
Ningde,119.5477,CN,2910000
Zhongshan,113.3925,CN,2909633
Weihai,122.1205,CN,2906548
Bursa,29.05,TR,2901396
Minneapolis,-93.2678,US,2892569
Mbuji-Mayi,23.6,CD,2892000
Haikou,110.3488,CN,2873358
Tongliao,122.243,CN,2873168
Chaoyang,120.453,CN,2872857
La Paz,-68.1333,BO,2867504
Pyongyang,125.7475,KP,2863000
Tampa,-82.4447,US,2861173
Shaoguan,113.597,CN,2855131
Heyuan,114.7002,CN,2837686
Brasília,-47.8828,BR,2817068
Omdurman,32.4833,SD,2805396
Malang,112.62,ID,2795209
Stuttgart,9.18,DE,2787724
Daqing,125.104,CN,2781562
Rome,12.4828,IT,2748109
Brooklyn,-73.9496,US,2736074
Kaohsiung,120.2975,TW,2733964
Xiangtan,112.9454,CN,2726181
Longyan,117.017,CN,2723637
Baotou,109.9532,CN,2709378
Handan,114.487,CN,2708015
Jinzhou,121.148,CN,2703853
Kanpur,80.3319,IN,2701324
Denver,-104.8758,US,2687458
Nanping,118.1774,CN,2680645
Gāzipura,90.375,BD,2674697
Shanwei,115.3756,CN,2672819
Chaozhou,116.622,CN,2656600
Guayaquil,-79.8875,EC,2650288
Weifang,119.162,CN,2636154
Huai’an,119.113,CN,2632788
Zibo,118.055,CN,2631647
Ankang,109.029,CN,2629906
Mogadishu,45.3419,SO,2610483
Munich,11.575,DE,2606021
Gulou,119.298,CN,2606000
Taipei,121.5625,TW,2603150
Bekasi,106.9923,ID,2590257
Damascus,36.2919,SY,2584771
Sanming,117.6389,CN,2580000
Yangjiang,111.983,CN,2555600
Jiamusi,130.319,CN,2552097
Luohe,114.0109,CN,2544266
Medellín,-75.5906,CO,2529403
Dingxi,104.592,CN,2524097
Shaoxing,120.5833,CN,2521964
Yantai,121.4478,CN,2511053
Huizhou,114.416,CN,2509243
Lishui,119.923,CN,2507396
Xuanzhou,118.759,CN,2500063
Khowrhesht,49.6872,IR,2500000
Mirzāpur,82.569,IN,2496970
Zigong,104.779,CN,2489256
Hamburg,10,DE,2484800
Guangyuan,105.844,CN,2484122
Cali,-76.5222,CO,2471474
Huangshi,115.039,CN,2469079
Xining,101.7804,CN,2467965
Lusaka,28.2833,ZM,2467563
Ouagadougou,-1.5275,BF,2453496
Yaoundé,11.5167,CM,2440462
Zhuhai,113.5769,CN,2439585
Huludao,120.837,CN,2434194
Baoshan,99.161,CN,2431211
Mecca,39.8233,SA,2427924
Vancouver,-123.1,CA,2426160
Lianshan,120.828,CN,2426000
Beirut,35.5057,LB,2421354
Salvador,-38.4767,BR,2418005
Bucharest,26.1039,RO,2412530
Longba,104.9603,CN,2407272
Nāgpur,79.0806,IN,2405665
Queens,-73.7976,US,2405464
Jilin,126.5481,CN,2396000
Tieling,123.726,CN,2388294
Accra,-0.2,GH,2388000
Yunfu,112.0445,CN,2383350
Bekasi Kota,107,ID,2381053
Daegu,128.6017,KR,2376044
Ghāziābād,77.42,IN,2375820
Luoyang,112.4539,CN,2372571
Brisbane,153.0281,AU,2360241
Anshun,105.9476,CN,2353100
Riverside,-117.3949,US,2332836
Yingkou,122.219,CN,2328582
Colombo,79.8428,LK,2323826
Yanjiang,104.627,CN,2308631
Baku,49.8822,AZ,2300500
Antananarivo,47.525,MG,2300000
Mudanjiang,129.6329,CN,2290208
Fukuoka,130.4017,JP,2286000
Yan’an,109.494,CN,2282581
Jincheng,112.852,CN,2279146
Nantong,120.894,CN,2261382
Lincang,100.089,CN,2257991
Yuxi,102.527,CN,2249502
Las Vegas,-115.2654,US,2248047
Caracas,-66.9036,VE,2245744
Tangerang,106.6403,ID,2237006
Laibin,109.2212,CN,2233900
Konya,32.4833,TR,2232374
Supaul,86.605,IN,2229076
Vienna,16.3725,AT,2223236
Eşfahān,51.6675,IR,2219343
Baltimore,-76.6144,US,2196524
Shengli,118.6746,CN,2193518
Dandong,124.3833,CN,2188436
Qinbaling,107.64,CN,2179716
Gaoping,106.1281,CN,2174000
Awka,7.0678,NG,2171900
Taizhou,121.4208,CN,2162461
Ma’anshan,118.507,CN,2159930
Harare,31.0522,ZW,2150000
Perth,115.8606,AU,2141834
St. Louis,-90.2451,US,2130881
Phnom Penh,104.9211,KH,2129371
Depok,106.8225,ID,2123349
Stockholm,18.0686,SE,2121000
Puning,116.166,CN,2118200
Huaibei,116.798,CN,2114276
Kowloon,114.1833,HK,2108419
Córdoba,-64.1833,AR,2106734
Haiphong,106.6838,VN,2103500
Zamboanga City,122.0761,PH,2100000
Chongzuo,107.365,CN,2099400
Rawalpindi,73.0333,PK,2098231
Portland,-122.65,US,2095808
Kano,8.5167,NG,2095000
Yushan,120.985,CN,2092496
Havana,-82.3589,CU,2089532
Hezhou,111.5672,CN,2072600
Pingliang,106.6649,CN,2068033
Vadodara,73.2,IN,2065771
Manaus,-60.0217,BR,2063547
Qingyang,118.5517,CN,2061600
San Antonio,-98.5238,US,2058444
Rājkot,70.7833,IN,2043000
Shangzhou,109.9244,CN,2041231
Vishākhapatnam,83.2978,IN,2035922
Sanmenxia,111.2004,CN,2034872
Baicheng,122.838,CN,2032356
Gujranwala,74.19,PK,2027001
Aleppo,37.16,SY,2003671
Tijuana,-117.0333,MX,2002000
Bamenda,10.1517,CM,2000000
Minsk,27.5667,BY,1995471
Indore,75.8472,IN,1994397
Karaj,50.9489,IR,1973470
Kananga,22.4488,CD,1971704
Peshawar,71.5675,PK,1970042
Sapporo,141.3544,JP,1959313
Sacramento,-121.4685,US,1957738
Tilburg,5.0833,NL,1944588
Pingxiang,113.887,CN,1933200
Ecatepec,-99.06,MX,1929926
Almaty,76.915,KZ,1916822
Austin,-97.7522,US,1905945
Yinchuan,106.225,CN,1901793
Santos,-46.325,BR,1897551
Blantyre,35.0058,MW,1895973
Thāne,72.9722,IN,1886941
Orlando,-81.337,US,1882705
Tainan,120.1833,TW,1874686
Xiping,113.2981,CN,1873000
Multan,71.4697,PK,1871843
Santa Cruz,-63.1833,BO,1867673
Port Harcourt,7.0336,NG,1865000
Jixi,130.969,CN,1862165
Fushun,123.957,CN,1861372
Warsaw,21.0111,PL,1860281
Beihai,109.12,CN,1853227
Fuxin,121.67,CN,1819339
Wuwei,102.638,CN,1815059
Siping,124.3506,CN,1814733
San Juan,-66.061,PR,1814587
Mersin,34.6333,TR,1814468
Bhopāl,77.4126,IN,1798218
Mosul,43.13,IQ,1792000
Lubumbashi,27.4794,CD,1786397
Davao,125.6,PH,1776949
Curitiba,-49.2711,BR,1773733
San Jose,-121.848,US,1771413
Shuyangzha,118.7734,CN,1770000
Adana,35.3213,TR,1765981
Quito,-78.5125,EC,1763275
Pittsburgh,-79.9763,US,1749091
Brazzaville,15.2711,CG,1733263
Hyderabad City,68.3683,PK,1732693
